Taxon,Genus,Species,Taxon Aphia ID,Soniferous Category,Reference Aphia ID,Notes
Euchiloglanis phongthoensis,Euchiloglanis,phongthoensis,1009056,Likely to produce sound under natural conditions but unconfirmed,452075,
Euchoristopus kalolo,Euchoristopus,kalolo,298304,Likely to produce sound under natural conditions but unconfirmed,452075,
Eucinostomus argenteus,Eucinostomus,argenteus,159732,Likely to produce sound under natural conditions but unconfirmed,452075,
Eucinostomus currani,Eucinostomus,currani,276416,Likely to produce sound under natural conditions but unconfirmed,452075,
Eucinostomus dowii,Eucinostomus,dowii,276417,Likely to produce sound under natural conditions but unconfirmed,452075,
Eucinostomus entomelas,Eucinostomus,entomelas,276418,Likely to produce sound under natural conditions but unconfirmed,452075,
Eucinostomus gracilis,Eucinostomus,gracilis,276419,Likely to produce sound under natural conditions but unconfirmed,452075,
Eucinostomus gula,Eucinostomus,gula,159733,Likely to produce sound under natural conditions but unconfirmed,452136,
Eucinostomus harengulus,Eucinostomus,harengulus,276420,Likely to produce sound under natural conditions but unconfirmed,452075,
Eucinostomus havana,Eucinostomus,havana,276421,Likely to produce sound under natural conditions but unconfirmed,452136,
Eucinostomus jonesii,Eucinostomus,jonesii,276422,Likely to produce sound under natural conditions but unconfirmed,452075,
Eucinostomus melanopterus,Eucinostomus,melanopterus,276423,Likely to produce sound under natural conditions but unconfirmed,452075,
Euclichthys microdorsalis,Euclichthys,microdorsalis,1523815,Does not or is unlikely to produce sound under natural conditions,452075,
Euclichthys polynemus,Euclichthys,polynemus,280735,Does not or is unlikely to produce sound under natural conditions,452075,
Euclichthys robertsi,Euclichthys,robertsi,1523816,Does not or is unlikely to produce sound under natural conditions,452075,
Eucyclogobius kristinae,Eucyclogobius,kristinae,1524549,Likely to produce sound under natural conditions but unconfirmed,452075,
Eucyclogobius newberryi,Eucyclogobius,newberryi,280737,Likely to produce sound under natural conditions but unconfirmed,452075,
Eudontomyzon danfordi,Eudontomyzon,danfordi,1017700,Unknown or undetermined,452074,
Eudontomyzon mariae,Eudontomyzon,mariae,478547,Unknown or undetermined,452074,
Eudontomyzon morii,Eudontomyzon,morii,1525450,Unknown or undetermined,452074,
Eudontomyzon stankokaramani,Eudontomyzon,stankokaramani,1524382,Unknown or undetermined,452074,
Eudontomyzon vladykovi,Eudontomyzon,vladykovi,1524846,Unknown or undetermined,452074,
Eudyptes chrysocome,Eudyptes,chrysocome,212657,Likely to produce sound under natural conditions but unconfirmed,452472,"""https://marinespecies.org/aphia.php?p=sourcedetails&id=452282"" target=""_blank"">Thiebault et al. (2019) findings suggest potential for all penguins to produce sound underwater."
Eudyptes chrysocome chrysocome,Eudyptes,chrysocome chrysocome,212657,Likely to produce sound under natural conditions but unconfirmed,452472,"""https://marinespecies.org/aphia.php?p=sourcedetails&id=452282"" target=""_blank"">Thiebault et al. (2019) findings suggest potential for all penguins to produce sound underwater."
Eudyptes chrysocome moseleyi,Eudyptes,chrysocome moseleyi,405087,Likely to produce sound under natural conditions but unconfirmed,452472,"""https://marinespecies.org/aphia.php?p=sourcedetails&id=452282"" target=""_blank"">Thiebault et al. (2019) findings suggest potential for all penguins to produce sound underwater."
